,AAPL,ABBV,ABB,ABT,ACN,ADBE,ADI,ADP,AIR,ALV,AMAT,AMD,AMGN,AMT,AMZN,ASML,ASX,AVGO,AXP,AZN,BABA,BAC,BA,BDX,BHP,BKNG,BKR,BLK,BMY,BP,BSX,BTI,BUD,BX,CAT,CB,CFR,CI,CMCSA,CNI,COP,COST,CP,CRM,CSCO,CSL,CVS,CVX,C,DEO,DE,DHR,DIS,DTE,ELV,EL,EOG,EQNR,ETN,GE,GILD,GOOG,GS,HCA,HDB,HD,HON,HSBC,IBM,IBN,IDEX,INTC,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MC,MDLZ,MDT,META,MMC,MO,MRK,MSFT,MS,MUFG,MU,NEE,NFLX,NKE,NOW,NVDA,NVO,NVR,NVS,ORCL,PANW,PBR,PDD,PEP,PFE,PG,PLD,PM,PYPL,QCOM,SAP,SBUX,SCHW,SHEL,SHOP,SLB,SNY,SONY,SO,SYK,TD,TJX,TMO,TMUS,TM,TSLA,TSM,TTE,TXN,T,UL,UNH,UNP,UPS,VRTX,VZ,V,WFC,WMT,XOM,ZTS,ADA,BAT,BCH,BNT,BSV,BTC,DAI,DASH,DOGE,EOS,ETC,ETH,LTC,NEO,OMG,QTUM,REP,TRX,USDT,UST,XLM,XMR,XRP,XTZ,XVG,ZEC,ZRX,CIBR,DIA,DJD,DJP,DVY,FDLO,FDN,FNGU,FTXO,IBB,IDU,IEO,IJH,IJJ,IJK,IJR,IJS,IJT,ITB,ITOT,IUSG,IVE,IWB,IWM,IWV,IYE,IYF,IYJ,IYR,IYT,IYW,IYY,KBWB,OEF,ONEQ,PNQI,QQQ,QTEC,QYLD,ROBT,RPG,RPV,SLYG,SLYV,SLY,SOXX,SPY,SVXY,XTN
const,0.0,0.0,0.00014961286281368465,0.0,0.00017333579200006118,0.00021990907099214433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024227218978724866,0.0,0.0,0.00019033235124820238,0.0,0.0,0.0002052517940738681,0.0,0.0,0.0,0.0,0.0,0.00015586862800556786,0.0,0.0,0.0,0.0,0.0,0.0003276063675060306,0.0,0.0,0.0,0.0,0.0,0.0,0.0003192712672344096,0.00015083769058020692,0.0,0.0,0.00018918129225769444,0.00023095992966641566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020162227433707437,0.0,0.0002293798687790401,0.00020387341415058845,0.0,0.0,0.00024404858758565563,0.0002979660310627782,0.00020299337471428762,0.0,0.0,0.0,0.0,0.0001652201011941714,0.0,0.0,0.0,0.0002470659627063816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023325617076743407,0.00015416528947875526,0.0,0.0,0.00017291203499195977,0.00028581245330760877,0.0,0.0,0.0,0.0,0.0,0.0,0.0003503301564923744,0.00021079974244523389,0.0,0.0,0.00019322595954002824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013215880429659875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031832965671808736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015785320892052368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020790610958187314,0.0,0.0,0.0,0.00025102382565650016,0.0,0.00022383422574192928,0.0,0.001267713416916616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014719815642886075,0.00011089981606368792,9.741254918554073e-05,0.0001616487818266287,0.00014353063410071294,9.543260862857034e-05,0.0,0.0,0.0,0.0,0.0,0.0002958397868369367,0.0,0.00014055587630657242,0.0,0.0,0.0,0.0,0.0,0.00013066209042242904,0.0001379036933952046,0.00011222114544112764,0.00013150008327972797,0.0,0.0001273108394403102,0.00022950762703836085,0.0001610738368094994,0.00012421320280485846,0.00012030296432558647,0.0,0.00016395546523151523,0.0001158359156819494,0.0,0.00013304635207704493,0.0,0.0,0.00014680079270113161,0.0,0.0,0.0,0.00015306193101474833,0.0001520306233311005,0.0,0.0,0.0,0.0,0.00013102146022915507,0.0003327096783302618,0.0
L1.AAPL,-0.17353402030121465,0.17719260712291057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20774581964395045,0.0,0.0,0.0,0.16842687901652906,0.0,0.31858135706257734,0.0,0.0,0.0,0.0,0.0,0.22298653795456796,0.0,0.0,-0.1839682761877055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17988325753195644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18448140120207296,0.24849303158401478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26408682789622384,0.0,0.20607905469122204,0.0,0.0,0.0,0.13172054968812544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15127106729965029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6432014670961733,0.0,0.0,0.0,0.0,0.19750854869328296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1540301894289021,0.0,0.0,0.0,0.0,0.24381660225984392,0.0,0.0,0.0,0.0,0.0,0.1807792137876605,0.0,0.0,0.0,0.0,0.0,0.7280482526558307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8725834144968438,0.0,0.0,1.3917157847276995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABBV,-0.09288991240898285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0906295404436614,0.0,0.0,0.0,0.10925093106819193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07686226372540521,0.10845090455681645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08530988616341835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06984010048945534,0.0,0.07973564914725578,0.0,0.0,0.0,0.05866421650625433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10735859374010306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09399917191867325,0.0,0.0,0.0,0.0,0.0,0.0,-0.10683935193933464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06781836390167621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1654835533785326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0474020136503608,0.0,0.0,0.0,0.0,0.0,0.0,-0.8883463600913423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6961935577067575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012919539856754418,0.0,0.5726060290910941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05222358384333815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06513145978437941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0955575727955183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06623300772034826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10819340619638701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1744182123705348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08885451846700829,0.0,0.0,0.14710209949174796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2990632124956699,0.0,0.0,0.0,0.0,0.0,0.1501635596623907,0.0,0.0,0.0,0.0,0.0,0.24798540879595207,0.0,0.0,0.0,0.0,-0.07961221894334404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.528232037065362,0.0,0.626927513915242,0.0,0.0,0.6812885008608077,0.0,0.6806710093846672,0.0,0.0,0.0,0.0,0.8542147952451775,0.0,0.0,0.5994394165805722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509952164959154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11967973363447683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1391552480519543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08967670561923662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06828646414040301,0.0,0.0,0.0,0.0,0.0,0.0,-0.15464214605706814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08207063107780674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888226214983637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6429046682655046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ACN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4488627774998993,0.31255225169576284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17787004674823353,0.0,0.0,0.0,0.40893912702408175,0.0,0.23971271095398186,0.0,0.2702422721030623,0.0,0.0,0.0,0.0,0.0,0.0,0.20689650768937326,0.1711693832229362,0.0,0.16131032270512896,0.0,0.0,0.0,0.0,0.0,0.0,-0.13774797237403164,0.0,0.11351380947267864,0.0,0.0,0.1806304665401295,0.0,0.17970291178345077,-0.13534026297361781,0.15993791078675115,0.0,0.0,0.12569712514020395,0.0,0.0,0.0,0.0,0.0,0.0,0.17668677610644243,0.15823125255899836,0.0,0.11359699398720512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11929863848341708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3027782006761441,-0.11254832847617988,0.0,0.0,0.0,0.0,-0.10273410650107084,0.0,0.15143658271515473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18581405827310468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09514222448986266,0.0,0.0,0.0,0.0,0.0,0.0,0.2705778543479921,0.0,0.0,0.24521807800186712,0.0,0.0,0.0,0.0,0.0,0.0,-0.10959862423670011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15930789568616072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010894242772948636,0.017426324660339262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06270048508152132,0.0,0.0,0.08574271658400791,0.0,0.0,0.0,0.19908851215995804,0.0,0.0,0.20819757141227918,0.1628025629530018,0.17151433087343812,0.14161518647387653,0.22093700732251617,0.23535405561838088,0.19932944196854618,0.13865930102395155,0.0683343144350251,0.0,0.06965506626572586,0.058761804537610866,0.20131884612103548,0.0,0.0,0.09695854724710803,0.1283259746919793,0.0,0.147332183722196,0.0,0.0,0.1704811583527471,0.0,0.0,0.0,0.0,0.0,0.0,0.09708921025741392,0.0,0.12471469566441161,0.2169138636926406,0.21291381409049603,0.21132419350195009,0.0,0.0,0.0,0.23581851469219983
L1.ADBE,0.0,0.0,0.0,0.11972652398052305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17967967428909712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08094765873130078,0.0,0.0,0.11138557856446529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10359898395081021,0.0,0.0,0.0,0.0,0.0,0.10651976387404305,0.0,0.1714838030504408,0.0,0.0,0.0,0.0,0.08218360839821656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12270438945920682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14765437645081605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008186965454637433,0.0,0.0,0.0,0.0,-1.0841482918856955,0.0,0.0,0.0,0.0,0.0,0.0,-0.09030154864340796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ADI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08521944547503346,0.0,0.0,0.0,0.0,0.0,0.104833764901889,0.0,0.0,0.0,0.0,0.0,0.0,-0.14935031995757658,-0.08138375703949305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1095025657062114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2109389573344729,0.0,0.0,0.0,0.0,0.0,0.0,0.22113565206810973,0.0,0.0,0.0,-0.2289493988116914,0.0,-0.061120328594746816,-0.08255163408163164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07328046593722298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7191929321262306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8259625271209402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08988434992652075,0.12350185401299894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10566033867412129,0.0,0.10964286673981773,0.0,0.0,0.0,0.08507824574761708
L1.ADP,0.0,0.0,-0.08315914834606768,0.0,0.0,0.0,0.0,-0.11804632850545213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12173286397472872,0.0,-0.25028643955537144,0.0,0.0,-0.16424193616804328,0.10897095085704622,-0.08699426607582869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11753830744537125,0.0,0.0,0.0,0.0,0.0,-0.0640229305041769,0.09364421240582721,0.09180600957209693,-0.2107591268082991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05767116270337245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17687445498660145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08453203277352725,0.0,0.0,0.0,-0.12105297058727629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15475125799279496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01530208633513721,-0.6348568733592358,0.0,-0.6809830515582928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3067358760403285,0.0,0.0,0.0,-0.13954206949156833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14659516984977364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.AIR,0.0,0.0,-0.050035864632045714,0.0,-0.03809128596679294,0.0,0.0,-0.03450279466270037,-0.1741003261902694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10569847059152257,-0.05638635093292651,-0.049806654747768936,0.0,0.0,-0.06637306011580205,0.0,0.0,0.0,0.0,-0.08990598796537164,-0.06083305622525986,0.0,-0.09270610585777042,0.0,0.0,0.0,0.0,-0.07167234654372895,0.0,-0.07473991919005418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05651248138070432,0.0,-0.051106825800214556,-0.053840304391112065,0.0,-0.07017836431404778,0.0,0.0,0.0,0.0,-0.08846748694138704,-0.08138810356832024,-0.09001819396032287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0464269768975784,0.0,0.0,-0.046953950982497925,0.0,0.0,0.0,-0.06862721982052213,0.0,-0.03478083218892941,0.0,0.0,0.0,0.0,0.0,0.0,-0.05272009100272311,-0.10208555257638968,0.0,0.0,0.0,0.0,0.0,-0.06381736116910215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1572341298407576,0.14623145396014287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03896913481666498,0.0,-0.08379386104633094,0.0,0.0,0.0,0.0,0.0,0.0,-0.03816100476883013,0.0,0.0,0.0,0.0,0.0,0.0,-0.09013463718161682,-0.0636434894011299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06969569142381413,-0.0479650546185853,0.0,0.0,0.0,0.2517950039142968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033581890039099103,0.0,0.0,-0.27579798791356785,0.0,0.0,0.0,0.0,0.0,0.0,-0.028735062370627465,-0.026026288956547284,-0.05078493660013761,-0.030303403755838697,-0.018475655822372608,0.0,-0.6725829828580842,-0.06782689710295099,0.0,0.0,-0.06951290791296999,-0.04523693460490032,-0.04546511365640693,-0.053888494866190406,-0.05953902993285695,-0.06187410634168691,-0.06047729343775761,0.0,-0.032946812595760155,-0.03372017312387808,-0.029388560161381812,-0.031700160366202185,-0.053793452987814294,-0.03487666757607331,-0.06472269029854089,-0.03461600515963412,-0.039958608490518965,0.0,-0.04222397332691818,-0.04028394535004453,-0.03141832440093955,-0.069901805029446,-0.028113792230843423,0.0,0.0,-0.03287727120721031,-0.05207749823539269,-0.027838891210856195,-0.054136205264340584,-0.06291151192166565,-0.05267945381317207,-0.05130402398368139,-0.0685486795058044,-0.07147436268697496,-0.05821410694762741,-0.030042688782199952,-0.07850400987858613,-0.04941548324793385
