,AAPL,ABBV,ABB,ABT,ACN,ADBE,ADI,ADP,AIR,ALV,AMAT,AMD,AMGN,AMT,AMZN,ASML,ASX,AVGO,AXP,AZN,BABA,BAC,BA,BDX,BHP,BKNG,BKR,BLK,BMY,BP,BSX,BTI,BUD,BX,CAT,CB,CFR,CI,CMCSA,CNI,COP,COST,CP,CRM,CSCO,CSL,CVS,CVX,C,DEO,DE,DHR,DIS,DTE,ELV,EL,EOG,EQNR,ETN,GE,GILD,GOOG,GS,HCA,HDB,HD,HON,HSBC,IBM,IBN,IDEX,INTC,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MC,MDLZ,MDT,META,MMC,MO,MRK,MSFT,MS,MUFG,MU,NEE,NFLX,NKE,NOW,NVDA,NVO,NVR,NVS,ORCL,PANW,PBR,PDD,PEP,PFE,PG,PLD,PM,PYPL,QCOM,SAP,SBUX,SCHW,SHEL,SHOP,SLB,SNY,SONY,SO,SYK,TD,TJX,TMO,TMUS,TM,TSLA,TSM,TTE,TXN,T,UL,UNH,UNP,UPS,VRTX,VZ,V,WFC,WMT,XOM,ZTS,ADA,BAT,BCH,BNT,BSV,BTC,DAI,DASH,DOGE,EOS,ETC,ETH,LTC,NEO,OMG,QTUM,REP,TRX,USDT,UST,XLM,XMR,XRP,XTZ,XVG,ZEC,ZRX,CIBR,DIA,DJD,DJP,DVY,FDLO,FDN,FNGU,FTXO,IBB,IDU,IEO,IJH,IJJ,IJK,IJR,IJS,IJT,ITB,ITOT,IUSG,IVE,IWB,IWM,IWV,IYE,IYF,IYJ,IYR,IYT,IYW,IYY,KBWB,OEF,ONEQ,PNQI,QQQ,QTEC,QYLD,ROBT,RPG,RPV,SLYG,SLYV,SLY,SOXX,SPY,SVXY,XTN
const,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015941378731362907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003627960785884707,0.0,0.0,0.0,0.0,0.0,0.0,0.00025665310920078017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003901313692313572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020540654824904134,0.00033407227959155925,0.0,0.0,-0.0006080167573727281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000591251107003201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017658225535748553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000317321029658614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002721509108516642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2735296613627807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1642411741292104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26637840073000596,0.0,0.0,0.0,0.0,-0.19631253087286318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28916946117766923,0.0,0.0,0.0,0.0,-0.3780685921251936,0.0,0.0,0.0,0.0,0.0,0.0,-0.5950346616407327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2158734453702352,0.0,0.0,0.0,0.3109143063527584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.011286377752143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1191486699964686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABBV,0.0,0.1008581009958595,0.0,0.0,0.0916782024810875,0.0,0.0,0.08566778000651187,0.0,0.0,0.13403269179913213,0.17523749860794974,0.0,0.0,0.1008930864804416,0.13658392168723352,0.12868688903193826,0.12069913401312198,0.0,0.0,0.0,0.0,0.15826320495736887,0.0,0.0,0.1694119930914221,0.0,0.10107882239597918,0.0,0.1221119698058164,0.09124607655927043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07528182517911494,0.0,0.0,0.0,0.0,0.0,0.12544708451565,0.0,0.06410400986953939,0.0,0.0,0.0,0.0,0.0,0.11977388405791536,0.0,0.0,0.07772594613106786,0.10514395565148019,0.0,0.16675834119442343,0.12742920235223798,0.0,0.0,0.08355034738024619,0.0,0.10996162122862918,0.0,0.11778841016022763,0.0,0.11268258027746846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12033883979414073,0.0,0.0,0.0,0.06721814563124033,0.0,0.0,0.0,0.14599545534330513,0.0,0.0,0.0,0.0,0.09432521336181048,0.0,0.22833799841409758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20080645403417363,0.0,0.0,0.10581992750407652,0.11513442056846679,0.0,0.0,0.0,0.0,0.0,0.0,0.05743062299988577,0.1434902916079088,0.0,0.0,0.0,0.0,0.10525591073023484,0.10222515444997163,0.13150288172879593,0.0,0.0,0.0,0.06953087843211947,0.12052624138292897,0.0,0.0,0.0,0.1362781958413315,0.06228357797429424,0.10298279269624767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710912313852573,0.049633678631895994,0.0,0.0,0.0,0.0,0.09698016016745614,0.0,0.0,0.0,0.0,0.12717268597092088,0.0,0.0,0.0,0.06906073268860011,0.0,0.0,0.08614085339646133,0.06970270393169428,0.07776354992577562,0.05324169969100288,0.06203487381960665,0.07191115309368053,0.06611173681147263,0.11398445129782672,0.0,0.05991149139649193,0.0,0.08498033553764994,0.09214172795588996,0.06626200271848084,0.0,0.06946133410275135,0.06849469022831275,0.10108459058860866,0.08478343406115678,0.11388956225349986,0.060768304504086296,0.0,0.0,0.0,0.07955694866168296,0.07501071372925598,0.0,0.14397113542990808,0.06727477616382231,0.1517509176090059,0.0982868410919936
L1.ABB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09673132487404545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1689657409708756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14124898871659125,0.0,0.0,-0.0693875333409254,0.0,0.0,0.0,0.0,0.0,0.0,-0.09329077214520416,0.0,0.0,-0.1806502725985594,0.0,0.0,-0.09328619501837197,0.0,0.0,0.0,0.0,-0.1677875738516159,0.0,0.0,0.0,0.0,0.0,-0.08523514337633069,0.0,0.0,-0.10175699349506188,0.0,0.0,-0.1560604801520129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12579934952948774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15405649418552836,0.0,0.0,0.0,0.0,0.0,-0.07801321218173113,-0.17468204377208507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058773383499726564,0.0,0.0,-0.07849420054196438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ABT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25243572617057664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12348861128194769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2199526459263695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3095624416563174,-0.14937430171939323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21359033906156522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13096471986891392,0.0,0.0,0.0,0.13965022009808342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14481037826686718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ACN,0.0,0.11358032257974324,0.0,0.0,0.0,0.0,0.13184707731596448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12642877591615856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12394760304236531,0.0,0.10266157429131015,0.0,0.0,0.14424186985077353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11416192807532685,0.0,0.0,0.1347437084259846,0.16391271444334735,0.0,0.12586121320744095,0.1131548503768749,0.11131502923319957,0.0,0.0,0.12858514936699578,0.0,0.0,0.0,0.18158201665870785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10208259009773056,0.0,0.13703335485101875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1314024101335176,0.09299030863542854,0.0,0.0,0.0,0.1275851265784654,0.0,0.20591059079312868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18273903774953856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11737766691236941,0.0,0.0,0.0,0.0,0.0,0.10461432997794001,0.0,0.0,0.11552984270505201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054054979689051,0.0,0.0,0.44360012240146807,0.0,0.0,0.3841438085813809,0.0,0.5701635938302975,0.46178447412437923,0.0,0.5143574532031304,0.0,0.5281607976156732,0.0,0.0,0.0,0.0,0.4536288610119039,0.0,0.0,0.5068381253599553,0.4349160149383491,0.4696862231527717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999432156353142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10242298618627468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ADBE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10625106826084921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08302271620199816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06996199030430482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18616964966208563,0.23464498969390604,0.0,0.08639431646710821,0.0,0.0,0.0,0.0,0.0,0.0,0.1484763280612866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10087922646166873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06488831322243392,0.0,0.0,0.0,0.0,0.0,0.3993361422346974,0.0,0.0,0.0,0.0,0.0,0.006050033559186488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33318430747063377,0.0,0.0,0.0,0.47470641274598996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972467601916852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L1.ADI,0.15608002569413282,0.0,0.0,0.0,0.1450105825461618,0.0,0.1830473052710933,0.0,0.0,0.18482822338311994,0.0,0.0,0.0,0.0,0.3006075326209586,0.23559373628266872,0.0,0.13736118753184218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22609670617893576,0.1310613631851225,0.0,0.0,0.0,0.0,0.1464642688719616,0.22044748432336203,0.0,0.0,0.0,0.0,0.0,0.18549649833445833,0.22305786264996186,0.0,0.11931713579283403,0.16634992134254606,0.2320044505180875,0.0,0.0,0.0,0.0,0.0,0.0,0.12401897121820064,0.0,0.0,0.0,0.1390468754969446,0.2543452005946114,0.0,0.0,0.17542155215572958,0.0,0.13439148801268866,0.0,0.0,0.0,0.12377212426884429,0.0,0.0,0.0,0.1727799572348886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12596030683256,0.0,0.0,0.0,0.2092036402367396,0.0,0.0,0.0,0.0,0.0,0.2508507715205802,0.0,0.0,0.0,0.16355622820604787,0.0,0.0,0.3072324978472531,0.0,0.3379237912250321,0.16592210555744583,0.18666230774712544,0.27720699432679874,0.0,0.0,0.08351665166386882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2532643689159806,0.0,0.15594165570385904,0.0,0.0,0.0,0.24792958276662513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19680488148818198,0.13783987635019304,-0.16407181515447966,0.0,0.0,0.0,0.14444714543956547,0.0,0.0,0.0,0.0,0.0,0.13264550362869929,0.0,0.4753302753417448,0.6353513185738225,0.0,0.0,0.0,0.0,0.0,0.8509365119884158,0.0,0.0,0.49372256014604166,0.0,0.0,0.8994755231938423,0.0,0.8815397798371538,0.0,0.4953136720319413,0.0,0.0,0.5939540480464017,0.4457273769878024,0.0,0.0,0.0,0.7598143142924794,0.883300616220323,0.0,0.08345744670890641,0.0,0.0,0.0,0.07227979984418725,0.1634590625742338,0.6146043801045329,0.13290858727701835,0.0,0.0,0.23214660605032755,0.09254607754433797,0.0,0.0908086302311971,0.10415438980326572,0.0,0.11458351180889634,0.0,0.10473087118758413,0.14171570738794892,0.0,0.10463992879180023,0.0,0.1059657651392984,0.16915310184836665,0.10576692999686585,0.0886548608913191,0.0,0.1211385890886546,0.15918083490422266,0.11809653907620532,0.12081380427690919,0.12516648812447778,0.15041946684515195,0.17176193147418545,0.14066302691181248,0.17917652510163387,0.10877694867374159,0.10618850686384083,0.14373371780899677,0.0,0.11147774334767349,0.0,0.0,0.18060509493829857,0.10677836300972651,0.19226300992968545,0.0
L1.ADP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19540315093244578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16677438044795242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15257760377652282,0.0,0.0,0.13662760631087822,0.0,0.0,0.13504151581702986,0.0,0.12062098833937587,0.0,0.0,0.0,0.0,0.0,0.0,-0.08147611886349675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07159594713762103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11590037275260316,0.11128322633511464,0.0,0.0,0.0964550660940803,0.13065591439173696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14570593135895799,0.0,0.0,0.0,0.0,0.0,0.0,0.12282286476144932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07582085290534107,0.14024470644425174,0.0,0.07695249428705148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024092101778627632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924633107085129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09742757661615692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06844775048916626,0.0,0.0777698956840779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07663278841248661,0.0,0.0,0.0,0.0
L1.AIR,-0.10361736259297727,0.0,0.0,0.0,0.0,0.0,-0.06991272790868258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07825836336145461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12088388750119436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09827459407798377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11591106449324068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17163434944898243,-0.09798807675942758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19905760461830238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08564494122428418,0.0,0.0,0.0,0.0,0.0,0.03735812983477324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052093578686326525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.055573739785727244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
