,0
AAPL,0
ABBV,1
ABB,2
ABT,6
ACN,2
ADBE,0
ADI,4
ADP,10
AIR,7
ALV,5
AMAT,4
AMD,4
AMGN,0
AMT,1
AMZN,8
ASML,4
ASX,4
AVGO,4
AXP,11
AZN,10
BABA,8
BAC,11
BA,10
BDX,6
BHP,5
BKNG,5
BKR,12
BLK,2
BMY,1
BP,12
BSX,1
BTI,3
BUD,10
BX,2
CAT,3
CB,3
CFR,11
CI,10
CMCSA,1
CNI,5
COP,12
COST,6
CP,5
CRM,8
CSCO,10
CSL,5
CVS,10
CVX,12
C,11
DEO,10
DE,3
DHR,6
DIS,2
DTE,3
ELV,10
EL,2
EOG,12
EQNR,12
ETN,1
GE,12
GILD,0
GOOG,0
GS,11
HCA,1
HDB,11
HD,10
HON,1
HSBC,11
IBM,1
IBN,11
IDEX,8
INTC,4
INTU,0
ISRG,2
ITW,1
JNJ,10
JPM,11
KO,1
LIN,10
LLY,1
LMT,3
LOW,10
LRCX,4
MA,2
MCD,10
MC,5
MDLZ,1
MDT,1
META,8
MMC,1
MO,3
MRK,10
MSFT,0
MS,11
MUFG,11
MU,4
NEE,3
NFLX,8
NKE,2
NOW,8
NVDA,4
NVO,10
NVR,5
NVS,10
ORCL,2
PANW,8
PBR,12
PDD,8
PEP,1
PFE,10
PG,1
PLD,1
PM,3
PYPL,8
QCOM,4
SAP,2
SBUX,2
SCHW,11
SHEL,12
SHOP,8
SLB,12
SNY,10
SONY,0
SO,3
SYK,1
TD,11
TJX,5
TMO,6
TMUS,2
TM,10
TSLA,0
TSM,4
TTE,12
TXN,4
T,3
UL,10
UNH,10
UNP,5
UPS,5
VRTX,0
VZ,3
V,2
WFC,11
WMT,6
XOM,12
ZTS,2
ADA,9
BAT,9
BCH,9
BNT,6
BSV,9
BTC,6
DAI,9
DASH,9
DOGE,6
EOS,9
ETC,9
ETH,6
LTC,9
NEO,9
OMG,9
QTUM,9
REP,9
TRX,9
USDT,6
XLM,9
XMR,9
XRP,9
XTZ,9
XVG,6
ZEC,9
ZRX,9
CIBR,8
DIA,10
DJD,1
DJP,12
DVY,3
FDLO,2
FDN,8
FNGU,0
FTXO,11
IBB,0
IDU,3
IEO,12
IJH,5
IJJ,5
IJK,5
IJR,7
IJS,7
IJT,7
ITB,5
ITOT,2
IUSG,6
IVE,1
IWB,2
IWM,7
IWV,2
IYE,12
IYF,11
IYJ,1
IYR,1
IYT,5
IYW,0
IYY,2
KBWB,11
OEF,6
ONEQ,0
PNQI,8
QQQ,0
QTEC,4
QYLD,0
ROBT,4
RPG,6
RPV,12
SLYG,7
SLYV,7
SLY,7
SOXX,4
SPY,2
SVXY,2
XTN,5
