,0
AAPL,0
ABBV,3
ABB,2
ABT,3
ACN,12
ADBE,0
ADI,4
ADP,5
AIR,11
ALV,7
AMAT,4
AMD,4
AMGN,0
AMT,8
AMZN,0
ASML,4
ASX,4
AVGO,4
AXP,8
AZN,3
BABA,9
BAC,8
BA,7
BDX,3
BHP,7
BKNG,11
BKR,7
BLK,12
BMY,12
BP,7
BSX,5
BTI,1
BUD,2
BX,8
CAT,5
CB,1
CFR,8
CI,2
CMCSA,5
CNI,5
COP,7
COST,0
CP,5
CRM,9
CSCO,3
CSL,11
CVS,5
CVX,7
C,8
DEO,2
DE,1
DHR,3
DIS,2
DTE,1
ELV,2
EL,2
EOG,7
EQNR,7
ETN,1
GE,5
GILD,0
GOOG,0
GS,8
HCA,11
HDB,8
HD,2
HON,5
HSBC,8
IBM,5
IBN,8
IDEX,3
INTC,0
INTU,6
ISRG,12
ITW,5
JNJ,3
JPM,8
KO,5
LIN,12
LLY,12
LMT,5
LOW,2
LRCX,4
MA,3
MCD,2
MC,11
MDLZ,12
MDT,12
META,9
MMC,12
MO,1
MRK,3
MSFT,0
MS,8
MUFG,7
MU,4
NEE,1
NFLX,9
NKE,2
NOW,6
NVDA,4
NVO,3
NVR,11
NVS,3
ORCL,3
PANW,9
PBR,7
PDD,9
PEP,12
PFE,3
PG,12
PLD,8
PM,5
PYPL,0
QCOM,4
SAP,12
SBUX,2
SCHW,8
SHEL,7
SHOP,9
SLB,7
SNY,3
SONY,0
SO,1
SYK,12
TD,7
TJX,8
TMO,3
TMUS,0
TM,11
TSLA,9
TSM,4
TTE,7
TXN,4
T,1
UL,12
UNH,2
UNP,5
UPS,5
VRTX,0
VZ,1
V,3
WFC,8
WMT,0
XOM,7
ZTS,12
ADA,6
BAT,6
BCH,10
BNT,6
BSV,10
BTC,10
DAI,10
DASH,10
DOGE,10
EOS,10
ETC,10
ETH,6
LTC,10
NEO,6
OMG,6
QTUM,6
REP,10
TRX,10
USDT,12
UST,12
XLM,10
XMR,6
XRP,10
XTZ,6
XVG,6
ZEC,10
ZRX,6
CIBR,9
DIA,2
DJD,5
DJP,7
DVY,1
FDLO,12
FDN,9
FNGU,9
FTXO,8
IBB,0
IDU,1
IEO,7
IJH,11
IJJ,11
IJK,11
IJR,11
IJS,11
IJT,11
ITB,11
ITOT,12
IUSG,3
IVE,5
IWB,12
IWM,11
IWV,12
IYE,7
IYF,8
IYJ,5
IYR,8
IYT,5
IYW,6
IYY,12
KBWB,8
OEF,3
ONEQ,3
PNQI,9
QQQ,0
QTEC,6
QYLD,0
ROBT,11
RPG,6
RPV,7
SLYG,11
SLYV,11
SLY,11
SOXX,4
SPY,12
SVXY,3
XTN,5
