,0
AAPL,0
ABBV,8
ABB,3
ABT,8
ACN,3
ADBE,0
ADI,5
ADP,3
AIR,10
ALV,7
AMAT,5
AMD,5
AMGN,8
AMT,4
AMZN,0
ASML,5
ASX,5
AVGO,5
AXP,4
AZN,8
BABA,11
BAC,2
BA,7
BDX,8
BHP,13
BKNG,7
BKR,13
BLK,1
BMY,8
BP,13
BSX,1
BTI,2
BUD,1
BX,3
CAT,2
CB,4
CFR,2
CI,4
CMCSA,3
CNI,7
COP,13
COST,6
CP,7
CRM,11
CSCO,1
CSL,7
CVS,4
CVX,13
C,2
DEO,1
DE,2
DHR,8
DIS,1
DTE,6
ELV,4
EL,3
EOG,13
EQNR,13
ETN,4
GE,2
GILD,8
GOOG,0
GS,2
HCA,4
HDB,3
HD,7
HON,4
HSBC,9
IBM,4
IBN,3
IDEX,10
INTC,5
INTU,0
ISRG,6
ITW,4
JNJ,8
JPM,2
KO,12
LIN,1
LLY,8
LMT,4
LOW,7
LRCX,5
MA,3
MCD,3
MC,7
MDLZ,12
MDT,1
META,0
MMC,4
MO,2
MRK,8
MSFT,0
MS,2
MUFG,2
MU,5
NEE,6
NFLX,11
NKE,1
NOW,0
NVDA,0
NVO,8
NVR,7
NVS,8
ORCL,4
PANW,11
PBR,13
PDD,11
PEP,12
PFE,8
PG,12
PLD,4
PM,12
PYPL,11
QCOM,5
SAP,6
SBUX,3
SCHW,2
SHEL,13
SHOP,11
SLB,13
SNY,8
SONY,3
SO,6
SYK,1
TD,4
TJX,4
TMO,8
TMUS,6
TM,4
TSLA,0
TSM,5
TTE,13
TXN,5
T,12
UL,12
UNH,4
UNP,7
UPS,7
VRTX,0
VZ,12
V,3
WFC,2
WMT,6
XOM,13
ZTS,8
ADA,9
BAT,14
BCH,9
BNT,14
BSV,9
BTC,14
DAI,6
DASH,9
DOGE,9
EOS,9
ETC,9
ETH,14
LTC,14
NEO,9
OMG,14
QTUM,9
REP,9
TRX,9
USDT,9
UST,3
XLM,9
XMR,9
XRP,9
XTZ,14
XVG,14
ZEC,9
ZRX,14
CIBR,11
DIA,1
DJD,4
DJP,13
DVY,2
FDLO,6
FDN,11
FNGU,10
FTXO,2
IBB,0
IDU,6
IEO,13
IJH,7
IJJ,7
IJK,7
IJR,10
IJS,10
IJT,10
ITB,7
ITOT,3
IUSG,6
IVE,4
IWB,3
IWM,10
IWV,3
IYE,13
IYF,4
IYJ,1
IYR,4
IYT,7
IYW,0
IYY,3
KBWB,2
OEF,6
ONEQ,6
PNQI,11
QQQ,0
QTEC,0
QYLD,0
ROBT,0
RPG,0
RPV,2
SLYG,10
SLYV,10
SLY,10
SOXX,5
SPY,3
SVXY,3
XTN,7
